X,Y,stationtype,stationmmsi,stationname,objectid
-10301443.2902,4174267.6854,LOMA,3660732,Toad Suck Ferry L&D 8,245
-10115079.588,3802624.1092,LOMA,993660845,Trailer 1,246
-10041697.8073,4663183.8229,LOMA,3660870,USACE AREC,247
-10119788.4039,3804669.6675,LOMA,993661103,Vicksburg Bridge,248
-10526340.2266,4206734.1456,LOMA,3660733,W. D. Mayo L&D 14,249
-10407961.2463,3796154.267,LOMA,3660711,Joe D. Waggonner Jr. L&D,250
-10594059.6775,4239486.4846,LOMA,3660734,Webbers Falls Lake L&D 16,251
-9727450.5582,4138646.217,LOMA,3660658,Gen Joe Wheeler  L&D,252
-9832122.0765,4099095.7568,LOMA,3660882,Jamie Whitten L&D,253
-10157549.7774,4032352.9885,LOMA,3660891,Wilbur D. Mills L&D 2,254
-9754699.3508,4137380.1601,LOMA,3660709,Wilson L&D,255
-13625171.1489,6051389.5084,LOMA,993660645,Ballard L&D (Chittenden),256
-9821160.4617,4441784.3251,LOMA,993660644,Barkley L&D,257
-9099570.6297,4738440.0591,LOMA,993660646,Belleville L&D,258
-8783675.9059,5301920.4889,LOMA,993660737,Black Rock L&D,259
-13575376.7689,5722363.9258,LOMA,993660557,Bonneville L&D,260
-10618570.4126,3362465.4036,LOMA,993660835,Brazos East & West L&D,261
-9709501.4093,4344858.3067,LOMA,993660655,Cheatham L&D,262
-9487551.423,4178300.4593,LOMA,993660656,Chickamauga L&D,263
-10683733.0733,3335474.1371,LOMA,993660836,Colorado River East & West L&D,264
-9730284.7764,4559554.1414,LOMA,993660838,Green River L&D 1,265
-9224063.7027,4671369.2264,LOMA,993660648,Greenup L&D,266
-9617060.5513,4086210.8206,LOMA,993660659,Guntersville L&D,267
-9001945.6373,4817417.0232,LOMA,3660855,Hannibal L&D,268
-13233751.6802,5820671.1758,LOMA,993660662,Ice Harbor L&D,269
-9825663.3364,4441236.4091,LOMA,993660660,Kentucky L&D,270
-13138782.787,5874135.684,LOMA,993660663,Little Goose L&D,271
-9057892.9266,4606825.4468,LOMA,993660649,London L&D,272
-13072065.6663,5886779.3789,LOMA,993660664,Lower Granite L&D,273
-13195819.5644,5871224.3847,LOMA,993660665,Lower Monumental L&D,274
-13280367.831,5770842.7703,LOMA,993660666,McNary L&D,275
-10375233.4366,5608005.2656,LOMA,993660672,Mississippi L&D 1,276
-9531088.0425,4164624.4726,LOMA,993660705,Nickajack L&D,277
-9823993.8627,4172691.8591,LOMA,993660707,Pickwick Landing L&D,278
-8983631.687,4887476.3711,LOMA,993660864,Pike Island L&D,279
-9118320.8435,4709987.7424,LOMA,993660685,Racine L&D,280
-9148761.1656,4676334.6451,LOMA,993660651,Robert C. Byrd L&D,281
-13484977.5349,5718979.7906,LOMA,993660753,The Dalles L&D,282
-9437603.8037,4248764.3715,LOMA,993660708,Watts Bar L&D,283
-9052675.7234,4773406.4103,LOMA,993660652,Willow Island L&D,284
-9118773.577,4654253.4346,LOMA,993660653,Winfield L&D,285
-9832116.5105,4099098.459,LOMA,3660879,G.V. Sonny Montgomery L&D (TT),286
-9843522.9736,4037516.7985,LOMA,3660876,Glover Wilkins L&D,287
-9714332.6861,4513479.9183,LOMA,3660839,Green River L&D 2,288
16109330.5207,1509236.4731,NAIS,3669155,Mount Alutom,289
16105035.4813,1491848.6152,NAIS,3669190,Merizo,290
